Date,Tariff
2012-01-01,27.59
2012-02-01,27.59
2012-03-01,27.59
2012-04-01,28.78
2012-05-01,28.78
2012-06-01,28.78
2012-07-01,28.08
2012-08-01,28.08
2012-09-01,28.08
2012-10-01,27.27
2012-11-01,27.27
2012-12-01,27.27
2013-01-01,26.28
2013-02-01,26.28
2013-03-01,26.28
2013-04-01,26.7
2013-05-01,26.7
2013-06-01,26.7
2013-07-01,25.95
2013-08-01,25.95
2013-09-01,25.95
2013-10-01,26.08
2013-11-01,26.08
2013-12-01,26.08
2014-01-01,25.65
2014-02-01,25.65
2014-03-01,25.65
2014-04-01,25.73
2014-05-01,25.73
2014-06-01,25.73
2014-07-01,25.68
2014-08-01,25.68
2014-09-01,25.68
2014-10-01,25.28
2014-11-01,25.28
2014-12-01,25.28
2015-01-01,23.29
2015-02-01,23.29
2015-03-01,23.29
2015-04-01,20.87
2015-05-01,20.87
2015-06-01,20.87
2015-07-01,22.41
2015-08-01,22.41
2015-09-01,22.41
2015-10-01,20.35
2015-11-01,20.35
2015-12-01,20.35
2016-01-01,19.5
2016-02-01,19.5
2016-03-01,19.5
2016-04-01,17.68
2016-05-01,17.68
2016-06-01,17.68
2016-07-01,19.27
2016-08-01,19.27
2016-09-01,19.27
2016-10-01,19.13
2016-11-01,19.13
2016-12-01,19.13
2017-01-01,20.2
2017-02-01,20.2
2017-03-01,20.2
2017-04-01,21.39
2017-05-01,21.39
2017-06-01,21.39
2017-07-01,20.72
2017-08-01,20.72
2017-09-01,20.72
2017-10-01,20.3
2017-11-01,20.3
2017-12-01,20.3
2018-01-01,21.56
2018-02-01,21.56
2018-03-01,21.56
2018-04-01,22.15
2018-05-01,22.15
2018-06-01,22.15
2018-07-01,23.65
2018-08-01,23.65
2018-09-01,23.65
2018-10-01,24.13
2018-11-01,24.13
2018-12-01,24.13
2019-01-01,23.85
2019-02-01,23.85
2019-03-01,23.85
2019-04-01,22.79
2019-05-01,22.79
2019-06-01,22.79
2019-07-01,24.22
2019-08-01,24.22
2019-09-01,24.22
2019-10-01,23.43
2019-11-01,23.43
2019-12-01,23.43
2020-01-01,24.24
2020-02-01,24.24
2020-03-01,24.24
2020-04-01,23.02
2020-05-01,23.02
2020-06-01,23.02
2020-07-01,19.6
2020-08-01,19.6
2020-09-01,19.6
2020-10-01,21.43
2020-11-01,21.43
2020-12-01,21.43
2021-01-01,20.76
2021-02-01,20.76
2021-03-01,20.76
2021-04-01,22.55
2021-05-01,22.55
2021-06-01,22.55
2021-07-01,23.38
2021-08-01,23.38
2021-09-01,23.38
2021-10-01,24.11
2021-11-01,24.11
2021-12-01,24.11
2022-01-01,25.44
2022-02-01,25.44
2022-03-01,25.44
2022-04-01,27.94
2022-05-01,27.94
2022-06-01,27.94
2022-07-01,30.17
2022-08-01,30.17
2022-09-01,30.17
2022-10-01,29.74
2022-11-01,29.74
2022-12-01,29.74
2023-01-01,28.95
2023-02-01,28.95
2023-03-01,28.95
2023-04-01,27.43
2023-05-01,27.43
2023-06-01,27.43
2023-07-01,27.74
2023-08-01,27.74
2023-09-01,27.74
2023-10-01,28.7
2023-11-01,28.7
2023-12-01,28.7
2024-01-01,29.89
2024-02-01,29.89
2024-03-01,29.89
2024-04-01,29.79
2024-05-01,29.79
2024-06-01,29.79
2024-07-01,29.88
2024-08-01,29.88
2024-09-01,29.88
